Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
National,National,40717233,0.497,0.249,0.248,20232414,10144074,10088340,1058,40531,0.495,0.249,0.247,19933414,10008746,9924668,1041,40057,34969703,0.498,0.247,0.251,17408514,8631963,8776551,965,37345,479721,0.002,0,0.001,299000,135328,163672,0.016,0.012,5747530,-0.001,0.002,-0.003,2823900,1512111,1311789,0.096,0.085
Alabama,State,509079,0.479,0.235,0.244,243902,119667,124235,788,29458,0.474,0.232,0.242,240266,117674,122592,771,28662,452148,0.481,0.237,0.244,217509,107313,110196,731,27136,2408,0.005,0.003,0.002,3636,1993,1643,0.021,0.028,56931,-0.002,-0.002,0,26393,12354,14039,0.078,0.086
Alaska,State,78973,0.432,0.24,0.191,34077,18964,15113,1177,53355,0.458,0.253,0.205,38398,21230,17168,1235,53769,73984,0.427,0.271,0.156,31605,20031,11574,1116,54000,-4814,-0.027,-0.013,-0.014,-4321,-2266,-2055,-0.047,-0.008,4989,0.004,-0.031,0.035,2472,-1067,3539,0.054,-0.012
Arizona,State,859185,0.471,0.25,0.221,404790,215205,189585,1036,41987,0.483,0.245,0.237,403789,205154,198635,1049,41167,671054,0.502,0.258,0.243,336543,173295,163248,996,38848,22576,-0.012,0.005,-0.017,1001,10051,-9050,-0.013,0.02,188131,-0.03,-0.008,-0.023,68247,41910,26337,0.04,0.081
Arkansas,State,354307,0.458,0.238,0.221,162386,84175,78211,731,29959,0.445,0.242,0.203,158311,85983,72328,731,30211,318929,0.482,0.242,0.24,153772,77198,76574,697,27147,-1553,0.013,-0.004,0.017,4075,-1808,5883,0,-0.008,35378,-0.024,-0.004,-0.019,8614,6977,1637,0.049,0.104
California,State,5615217,0.546,0.266,0.28,3065668,1491850,1573818,1520,52348,0.552,0.272,0.28,3086559,1519191,1567368,1488,51875,4986796,0.547,0.268,0.279,2727137,1334027,1393110,1311,48158,26643,-0.006,-0.006,0,-20891,-27341,6450,0.021,0.009,628421,-0.001,-0.002,0.001,338531,157823,180708,0.159,0.087
Colorado,State,723615,0.513,0.269,0.244,371243,194537,176706,1289,47305,0.519,0.277,0.242,366597,195893,170704,1275,47013,582151,0.501,0.255,0.246,291576,148585,142991,958,38336,17316,-0.006,-0.009,0.003,4646,-1356,6002,0.011,0.006,141464,0.012,0.014,-0.001,79667,45952,33715,0.345,0.234
Connecticut,State,445313,0.526,0.255,0.271,234172,113369,120803,1171,40461,0.514,0.253,0.261,221397,108986,112411,1157,41933,388118,0.512,0.248,0.264,198807,96248,102559,1132,42122,14794,0.012,0.001,0.01,12775,4383,8392,0.012,-0.035,57195,0.014,0.007,0.007,35365,17121,18244,0.034,-0.039
Delaware,State,99834,0.526,0.257,0.269,52534,25700,26834,1108,39165,0.487,0.243,0.244,45346,22605,22741,1117,37566,80447,0.514,0.265,0.249,41335,21340,19995,1107,41672,6670,0.039,0.015,0.025,7188,3095,4093,-0.008,0.043,19387,0.012,-0.008,0.02,11199,4360,6839,0.001,-0.06
District of Columbia,State,156172,0.465,0.224,0.24,72598,35048,37550,1516,56449,0.479,0.23,0.249,73007,35091,37916,1542,57302,135421,0.475,0.227,0.248,64286,30732,33554,1136,43992,3784,-0.014,-0.006,-0.008,-409,-43,-366,-0.017,-0.015,20751,-0.01,-0.003,-0.007,8312,4316,3996,0.335,0.283
Florida,State,2488732,0.565,0.279,0.286,1405644,693817,711827,1182,40344,0.564,0.276,0.288,1405531,688329,717202,1160,39493,2000635,0.575,0.283,0.292,1149785,565627,584158,1125,39508,-4085,0.001,0.003,-0.002,113,5488,-5375,0.019,0.022,488097,-0.01,-0.004,-0.006,255859,128190,127669,0.051,0.021
Georgia,State,1264338,0.498,0.261,0.236,629073,330071,299002,1008,38512,0.48,0.25,0.23,616767,321166,295601,985,38316,1034248,0.494,0.25,0.245,511295,258112,253183,934,35940,-20959,0.018,0.011,0.007,12306,8905,3401,0.023,0.005,230090,0.003,0.011,-0.008,117778,71959,45819,0.079,0.072
Hawaii,State,174067,0.529,0.256,0.273,92143,44594,47549,1613,57180,0.562,0.284,0.278,98230,49676,48554,1618,56904,162337,0.554,0.261,0.293,90006,42413,47593,1452,55203,-811,-0.032,-0.028,-0.004,-6087,-5082,-1005,-0.003,0.005,11730,-0.025,-0.005,-0.02,2137,2181,-44,0.111,0.036
Idaho,State,171197,0.46,0.263,0.198,78789,44948,33841,848,36218,0.458,0.259,0.199,79154,44706,34448,845,34160,151633,0.449,0.268,0.181,68129,40654,27475,795,35003,-1561,0.002,0.004,-0.002,-365,242,-607,0.003,0.06,19564,0.011,-0.006,0.016,10660,4294,6366,0.066,0.035
Illinois,State,1538757,0.475,0.234,0.24,730322,360797,369525,995,38729,0.486,0.233,0.252,734623,352643,381980,1002,38412,1363349,0.49,0.231,0.259,668342,315059,353283,952,36153,25870,-0.011,0.001,-0.012,-4301,8154,-12455,-0.007,0.008,175408,-0.016,0.003,-0.019,61980,45738,16242,0.045,0.071
Indiana,State,744532,0.466,0.24,0.226,346965,178528,168437,820,33204,0.457,0.231,0.226,330246,167070,163176,816,32849,643809,0.472,0.228,0.244,303777,146776,157001,776,32528,22267,0.009,0.008,0,16719,11458,5261,0.005,0.011,100723,-0.006,0.012,-0.018,43188,31752,11436,0.057,0.021
Iowa,State,334253,0.424,0.209,0.215,141871,69862,72009,777,35084,0.422,0.218,0.204,138617,71639,66978,782,35124,300826,0.435,0.205,0.23,130741,61629,69112,690,31428,5450,0.003,-0.009,0.012,3254,-1777,5031,-0.006,-0.001,33427,-0.01,0.004,-0.014,11130,8233,2897,0.127,0.116
Kansas,State,355064,0.454,0.235,0.218,161073,83580,77493,840,35542,0.44,0.24,0.2,157907,86184,71723,838,36609,312990,0.437,0.223,0.214,136738,69776,66962,758,34136,-3642,0.013,-0.005,0.018,3166,-2604,5770,0.002,-0.029,42074,0.017,0.012,0.004,24335,13804,10531,0.109,0.041
Kentucky,State,499653,0.444,0.228,0.216,221860,114068,107792,779,31980,0.435,0.22,0.215,221946,112109,109837,745,31172,452201,0.462,0.222,0.241,209054,100274,108780,685,28208,-10463,0.009,0.009,0,-86,1959,-2045,0.046,0.026,47452,-0.018,0.007,-0.025,12806,13794,-988,0.138,0.134
Louisiana,State,520450,0.559,0.274,0.285,290691,142531,148160,854,27645,0.554,0.27,0.284,287548,139997,147551,860,27477,434674,0.512,0.246,0.266,222608,106783,115825,792,28880,1548,0.004,0.004,0,3143,2534,609,-0.007,0.006,85776,0.046,0.028,0.018,68083,35748,32335,0.079,-0.043
Maine,State,150857,0.481,0.254,0.227,72584,38368,34216,839,31916,0.446,0.245,0.201,58575,32137,26438,829,32750,138482,0.516,0.261,0.255,71441,36079,35362,791,30394,19485,0.035,0.01,0.026,14009,6231,7778,0.012,-0.025,12375,-0.035,-0.006,-0.029,1143,2289,-1146,0.061,0.05
Maryland,State,695224,0.498,0.253,0.246,346514,175815,170699,1371,50861,0.5,0.256,0.245,349378,178500,170878,1375,50818,607746,0.493,0.263,0.231,299850,159677,140173,1216,48870,-3045,-0.002,-0.003,0.001,-2864,-2685,-179,-0.003,0.001,87478,0.005,-0.01,0.015,46664,16138,30526,0.127,0.041
Massachusetts,State,944613,0.498,0.251,0.246,470109,237352,232757,1295,45629,0.492,0.245,0.247,456670,227259,229411,1243,43272,828250,0.492,0.245,0.246,407127,203172,203955,1151,40370,15524,0.006,0.007,-0.001,13439,10093,3346,0.042,0.054,116363,0.006,0.006,0,62982,34180,28802,0.126,0.13
Michigan,State,1054709,0.483,0.242,0.241,509572,255755,253817,861,32803,0.482,0.234,0.248,503003,243857,259146,859,32979,914230,0.529,0.237,0.292,483916,216968,266948,831,29968,10668,0.001,0.009,-0.008,6569,11898,-5329,0.002,-0.005,140479,-0.046,0.005,-0.051,25656,38787,-13131,0.037,0.095
Minnesota,State,591002,0.462,0.243,0.219,272894,143375,129519,969,38921,0.46,0.233,0.227,268444,136039,132405,966,39647,500278,0.491,0.263,0.228,245563,131585,113978,865,34827,7181,0.002,0.01,-0.008,4450,7336,-2886,0.003,-0.018,90724,-0.029,-0.02,-0.009,27331,11790,15541,0.121,0.118
Mississippi,State,300412,0.5,0.246,0.254,150321,73886,76435,777,27258,0.48,0.239,0.241,138380,68827,69553,763,27324,267327,0.526,0.249,0.277,140580,66612,73968,741,26422,11907,0.021,0.007,0.013,11941,5059,6882,0.018,-0.002,33085,-0.025,-0.003,-0.022,9741,7274,2467,0.049,0.032
Missouri,State,746359,0.458,0.235,0.223,342179,175675,166504,830,33881,0.447,0.23,0.217,323557,166654,156903,823,34169,637554,0.449,0.23,0.219,286007,146494,139513,752,30477,21810,0.012,0.005,0.007,18622,9021,9601,0.009,-0.008,108805,0.01,0.006,0.004,56172,29181,26991,0.104,0.112
Montana,State,125693,0.444,0.211,0.233,55806,26529,29277,811,34947,0.444,0.234,0.21,52521,27683,24838,781,33778,104486,0.457,0.243,0.214,47800,25437,22363,704,31821,7409,0,-0.023,0.023,3285,-1154,4439,0.039,0.035,21207,-0.013,-0.032,0.019,8006,1092,6914,0.152,0.098
Nebraska,State,240142,0.414,0.207,0.206,99317,49746,49571,830,37182,0.4,0.23,0.17,93739,53814,39925,824,38841,199213,0.409,0.219,0.19,81535,43650,37885,747,33577,5797,0.014,-0.022,0.036,5578,-4068,9646,0.007,-0.043,40929,0.004,-0.012,0.016,17782,6096,11686,0.111,0.107
Nevada,State,461764,0.51,0.267,0.243,235632,123456,112176,1108,41859,0.479,0.251,0.228,216058,113240,102818,1081,43327,366950,0.496,0.271,0.225,182026,99534,82492,1192,48718,10324,0.032,0.017,0.015,19574,10216,9358,0.025,-0.034,94814,0.014,-0.004,0.018,53606,23922,29684,-0.07,-0.141
New Hampshire,State,145130,0.477,0.248,0.229,69192,35975,33217,1090,41071,0.466,0.245,0.221,71052,37330,33722,1103,43065,132055,0.476,0.265,0.21,62803,35016,27787,1085,43260,-7202,0.01,0.003,0.008,-1860,-1355,-505,-0.011,-0.046,13075,0.001,-0.017,0.018,6389,959,5430,0.005,-0.051
New Jersey,State,1116257,0.51,0.236,0.274,568815,263094,305721,1336,48925,0.517,0.255,0.262,571150,281612,289538,1321,48545,987127,0.5,0.247,0.253,494026,244304,249722,1248,46777,10783,-0.007,-0.019,0.012,-2335,-18518,16183,0.012,0.008,129130,0.009,-0.012,0.021,74789,18790,55999,0.071,0.046
New Mexico,State,236393,0.493,0.25,0.243,116578,59139,57439,830,30871,0.49,0.247,0.243,106535,53770,52765,836,31953,205202,0.476,0.23,0.245,97623,47269,50354,775,32457,19094,0.003,0.003,0,10043,5369,4674,-0.007,-0.034,31191,0.017,0.02,-0.002,18955,11870,7085,0.071,-0.049
New York,State,3225441,0.52,0.238,0.281,1676123,768233,907890,1274,44276,0.527,0.245,0.282,1677867,779859,898008,1261,43275,3023519,0.505,0.233,0.272,1527665,705347,822318,1103,42108,40690,-0.007,-0.007,0,-1744,-11626,9882,0.01,0.023,201922,0.014,0.005,0.01,148458,62886,85572,0.155,0.051
North Carolina,State,1281264,0.478,0.253,0.225,611915,323813,288102,900,36034,0.464,0.239,0.225,579590,298198,281392,886,35430,1034448,0.463,0.232,0.231,478632,239825,238807,825,32938,32524,0.013,0.014,0,32325,25615,6710,0.016,0.017,246816,0.015,0.021,-0.006,133283,83988,49295,0.091,0.094
North Dakota,State,110361,0.385,0.211,0.174,42491,23264,19227,808,40756,0.399,0.192,0.207,42407,20438,21969,807,37696,83048,0.38,0.189,0.191,31533,15666,15867,628,29901,4155,-0.014,0.018,-0.033,84,2826,-2742,0.001,0.081,27313,0.005,0.022,-0.017,10958,7598,3360,0.288,0.363
Ohio,State,1483101,0.444,0.219,0.224,658108,325218,332890,797,32891,0.443,0.22,0.223,657167,326168,330999,794,32918,1285848,0.479,0.234,0.245,615811,300689,315122,782,30187,1221,0,-0.001,0.001,941,-950,1891,0.004,-0.001,197253,-0.035,-0.015,-0.021,42297,24529,17768,0.019,0.09
Oklahoma,State,459025,0.436,0.223,0.213,200233,102312,97921,808,35070,0.455,0.244,0.21,205624,110526,95098,802,32935,412323,0.448,0.227,0.221,184665,93725,90940,715,30812,6621,-0.018,-0.021,0.003,-5391,-8214,2823,0.007,0.065,46702,-0.012,-0.004,-0.007,15568,8587,6981,0.13,0.138
Oregon,State,582062,0.495,0.251,0.244,288316,146118,142198,1130,42540,0.516,0.25,0.266,290111,140785,149326,1110,40963,497210,0.502,0.248,0.254,249495,123112,126383,904,36712,19798,-0.021,0.001,-0.021,-1795,5333,-7128,0.018,0.038,84852,-0.006,0.003,-0.01,38821,23006,15815,0.251,0.159
Pennsylvania,State,1468239,0.48,0.232,0.248,704525,340659,363866,927,35600,0.473,0.228,0.245,675469,325704,349765,919,34142,1318222,0.473,0.225,0.247,623191,296964,326227,833,32682,40222,0.007,0.004,0.003,29056,14955,14101,0.009,0.043,150017,0.007,0.007,0,81334,43695,37639,0.113,0.089
Puerto Rico,State,207221,0.557,0.25,0.307,115369,51790,63579,484,11749,0.542,0.244,0.298,111241,50049,61192,466,11138,187890,0.592,0.255,0.336,111153,47984,63169,477,11505,2003,0.015,0.006,0.009,4128,1741,2387,0.039,0.055,19331,-0.035,-0.005,-0.029,4216,3806,410,0.015,0.021
Rhode Island,State,145995,0.471,0.248,0.223,68780,36212,32568,998,36106,0.456,0.239,0.217,68833,36105,32728,968,35379,141902,0.491,0.248,0.244,69690,35132,34558,1009,34113,-4962,0.015,0.009,0.006,-53,107,-160,0.031,0.021,4093,-0.02,0,-0.02,-910,1080,-1990,-0.011,0.058
South Carolina,State,524808,0.488,0.241,0.246,255957,126728,129229,892,33813,0.503,0.258,0.245,267048,136799,130249,872,32682,433339,0.472,0.231,0.241,204409,99908,104501,784,32308,-5848,-0.016,-0.016,0.001,-11091,-10071,-1020,0.023,0.035,91469,0.016,0.011,0.005,51548,26820,24728,0.137,0.047
South Dakota,State,100296,0.41,0.238,0.172,41160,23916,17244,734,34102,0.408,0.198,0.21,42015,20409,21606,743,32389,88396,0.389,0.197,0.192,34370,17435,16935,640,30070,-2602,0.002,0.04,-0.038,-855,3507,-4362,-0.012,0.053,11900,0.022,0.041,-0.02,6790,6481,309,0.147,0.134
Tennessee,State,795288,0.487,0.259,0.228,387658,205986,181672,861,33460,0.455,0.246,0.209,366105,197887,168218,857,34488,657634,0.48,0.236,0.244,315523,155010,160513,771,30570,-10153,0.033,0.013,0.02,21553,8099,13454,0.005,-0.03,137654,0.008,0.023,-0.016,72135,50976,21159,0.117,0.095
Texas,State,3467371,0.488,0.255,0.233,1690517,883014,807503,1046,41182,0.48,0.251,0.229,1630242,853576,776666,1015,41203,2722296,0.477,0.251,0.227,1299298,682074,617224,893,36601,70311,0.008,0.003,0.004,60275,29438,30837,0.03,-0.001,745075,0.01,0.004,0.006,391219,200940,190279,0.172,0.125
Utah,State,278450,0.444,0.243,0.201,123584,67733,55851,1043,44740,0.443,0.253,0.19,122638,69938,52700,1014,42813,227439,0.427,0.236,0.192,97156,53579,43577,891,41281,1796,0.001,-0.01,0.01,946,-2205,3151,0.028,0.045,51011,0.017,0.008,0.009,26428,14154,12274,0.17,0.084
Vermont,State,67179,0.467,0.229,0.238,31371,15378,15993,969,37312,0.506,0.258,0.248,36713,18720,17993,977,35978,63384,0.521,0.27,0.251,33030,17110,15920,919,36747,-5363,-0.039,-0.029,-0.01,-5342,-3342,-2000,-0.008,0.037,3795,-0.054,-0.041,-0.013,-1659,-1732,73,0.054,0.015
Virginia,State,1008122,0.485,0.26,0.225,489146,262583,226563,1215,47176,0.469,0.243,0.226,456169,235910,220259,1213,47638,857135,0.473,0.249,0.223,405093,213588,191505,1085,44953,35452,0.016,0.018,-0.002,32977,26673,6304,0.002,-0.01,150987,0.013,0.011,0.001,84053,48995,35058,0.12,0.049
Washington,State,1019857,0.478,0.25,0.228,487325,254834,232491,1316,50971,0.478,0.254,0.225,477714,253347,224367,1251,48176,841521,0.48,0.257,0.224,404287,215921,188366,992,40717,21357,-0.001,-0.004,0.003,9611,1487,8124,0.052,0.058,178336,-0.003,-0.007,0.004,83038,38913,44125,0.326,0.252
West Virginia,State,163337,0.493,0.237,0.256,80571,38718,41853,735,26370,0.486,0.233,0.254,77876,37250,40626,710,24721,160962,0.468,0.218,0.25,75327,35142,40185,639,24531,3215,0.007,0.004,0.003,2695,1468,1227,0.036,0.067,2375,0.025,0.019,0.007,5244,3576,1668,0.151,0.075
Wisconsin,State,734496,0.436,0.227,0.208,319892,166962,152930,847,36836,0.436,0.227,0.21,321414,166967,154447,842,36622,633043,0.451,0.235,0.216,285724,149073,136651,819,34791,-2157,-0.001,0.001,-0.001,-1522,-5,-1517,0.005,0.006,101453,-0.016,-0.008,-0.008,34168,17889,16279,0.035,0.059
Wyoming,State,61248,0.415,0.211,0.204,25428,12917,12511,818,35361,0.426,0.239,0.186,25111,14112,10999,856,38639,53384,0.38,0.206,0.174,20273,10994,9279,774,40684,2271,-0.011,-0.028,0.018,317,-1195,1512,-0.044,-0.085,7864,0.035,0.005,0.03,5155,1923,3232,0.058,-0.131
"Aberdeen, WA",Metro,7856,0.474,0.196,0.278,3726,1539,2187,730,25902,0.468,0.24,0.228,4413,2266,2147,749,31488,9899,0.352,0.175,0.177,3486,1729,1757,746,34782,-1567,0.006,-0.045,0.051,-687,-727,40,-0.025,-0.177,-2043,0.122,0.021,0.101,240,-190,430,-0.021,-0.255
"Abilene, TX",Metro,20717,0.48,0.28,0.2,9943,5795,4148,939,36378,0.49,0.312,0.178,9236,5889,3347,826,37311,18164,0.524,0.248,0.276,9517,4500,5017,812,32364,1872,-0.01,-0.033,0.023,707,-94,801,0.137,-0.025,2553,-0.044,0.032,-0.076,426,1295,-869,0.156,0.124
"Adrian, MI",Metro,8581,0.486,0.235,0.25,4167,2019,2148,783,37889,0.401,0.224,0.177,3390,1894,1496,742,33178,6807,0.574,0.263,0.311,3910,1790,2120,742,35952,134,0.084,0.011,0.073,777,125,652,0.056,0.142,1774,-0.089,-0.028,-0.061,257,229,28,0.055,0.054
"Akron, OH",Metro,85998,0.458,0.23,0.228,39369,19750,19619,807,32073,0.461,0.205,0.256,41550,18459,23091,834,33230,82265,0.471,0.223,0.248,38755,18370,20385,860,29763,-4035,-0.004,0.025,-0.028,-2181,1291,-3472,-0.033,-0.035,3733,-0.013,0.006,-0.02,614,1380,-766,-0.061,0.078
"Albany, GA",Metro,23304,0.456,0.206,0.25,10615,4800,5815,770,32105,0.465,0.235,0.23,11690,5910,5780,716,30085,22325,0.515,0.239,0.276,11492,5330,6162,692,30501,-1843,-0.009,-0.029,0.02,-1075,-1110,35,0.076,0.067,979,-0.059,-0.033,-0.026,-877,-530,-347,0.113,0.053
"Albany, NY",Metro,124381,0.448,0.218,0.231,55780,27086,28694,998,42191,0.449,0.223,0.225,52964,26361,26603,996,41701,106246,0.437,0.203,0.234,46443,21603,24840,947,38480,6300,0,-0.005,0.005,2816,725,2091,0.002,0.012,18135,0.011,0.014,-0.003,9337,5483,3854,0.053,0.096
"Albany, OR",Metro,16733,0.546,0.344,0.201,9129,5759,3370,998,38550,0.6,0.259,0.34,10097,4365,5732,959,31782,13528,0.456,0.194,0.263,6175,2621,3554,822,31448,-102,-0.054,0.085,-0.139,-968,1394,-2362,0.041,0.213,3205,0.089,0.15,-0.061,2954,3138,-184,0.214,0.226
"Albertville, AL",Metro,8596,0.373,0.195,0.178,3203,1677,1526,645,26264,0.407,0.179,0.228,3530,1552,1978,619,24506,8119,0.476,0.203,0.273,3864,1645,2219,601,20096,-67,-0.035,0.016,-0.051,-327,125,-452,0.042,0.072,477,-0.103,-0.008,-0.096,-661,32,-693,0.074,0.307
"Albuquerque, NM",Metro,114431,0.521,0.257,0.264,59578,29353,30225,886,33042,0.514,0.241,0.273,54014,25317,28697,885,32935,99190,0.505,0.232,0.272,50063,23040,27023,826,35231,9258,0.007,0.016,-0.009,5564,4036,1528,0.002,0.003,15241,0.016,0.024,-0.008,9515,6313,3202,0.073,-0.062
"Alexandria, LA",Metro,17694,0.522,0.323,0.199,9233,5713,3520,803,28242,0.557,0.319,0.238,10636,6092,4544,800,28758,14798,0.536,0.271,0.265,7935,4011,3924,765,26055,-1387,-0.036,0.004,-0.039,-1403,-379,-1024,0.003,-0.018,2896,-0.014,0.052,-0.066,1298,1702,-404,0.05,0.084
"Allentown, PA",Metro,94027,0.494,0.259,0.236,46475,24315,22160,1063,39471,0.529,0.278,0.251,50084,26299,23785,1016,37706,76625,0.468,0.236,0.231,35850,18119,17731,947,37961,-678,-0.035,-0.019,-0.015,-3609,-1984,-1625,0.046,0.047,17402,0.026,0.022,0.004,10625,6196,4429,0.122,0.04
"Altoona, PA",Metro,13234,0.499,0.278,0.221,6604,3685,2919,722,26394,0.528,0.222,0.306,8316,3499,4817,708,26549,13666,0.483,0.258,0.225,6604,3528,3076,691,29290,-2523,-0.029,0.056,-0.085,-1712,186,-1898,0.02,-0.006,-432,0.016,0.02,-0.005,0,157,-157,0.045,-0.099
"Amarillo, TX",Metro,32507,0.463,0.203,0.259,15036,6610,8426,833,32967,0.44,0.245,0.195,13792,7683,6109,850,37525,28861,0.497,0.258,0.239,14341,7437,6904,749,31266,1192,0.022,-0.042,0.064,1244,-1073,2317,-0.02,-0.121,3646,-0.034,-0.054,0.02,695,-827,1522,0.112,0.054
"Ames, IA",Metro,15795,0.534,0.204,0.33,8430,3215,5215,871,29250,0.571,0.2,0.371,9886,3463,6423,910,29583,13779,0.489,0.188,0.301,6739,2592,4147,812,32142,-1509,-0.038,0.003,-0.041,-1456,-248,-1208,-0.043,-0.011,2016,0.045,0.015,0.029,1691,623,1068,0.072,-0.09
"Anchorage, AK",Metro,41955,0.465,0.24,0.225,19528,10073,9455,1210,51969,0.462,0.254,0.209,22500,12336,10164,1304,55663,40497,0.406,0.273,0.133,16423,11046,5377,1172,53348,-6703,0.003,-0.013,0.016,-2972,-2263,-709,-0.072,-0.066,1458,0.06,-0.033,0.093,3105,-973,4078,0.032,-0.026
"Ann Arbor, MI",Metro,52834,0.52,0.214,0.306,27473,11330,16143,1116,40273,0.469,0.204,0.266,24376,10581,13795,1092,45016,47201,0.587,0.256,0.331,27721,12107,15614,1006,36245,884,0.051,0.011,0.04,3097,749,2348,0.022,-0.105,5633,-0.067,-0.042,-0.025,-248,-777,529,0.11,0.111
"Anniston, AL",Metro,11478,0.476,0.243,0.233,5468,2794,2674,743,24403,0.428,0.193,0.235,4625,2088,2537,650,28697,10533,0.443,0.219,0.224,4670,2308,2362,673,27774,677,0.048,0.05,-0.002,843,706,137,0.143,-0.15,945,0.033,0.024,0.009,798,486,312,0.105,-0.121
"Appleton, WI",Metro,23364,0.305,0.159,0.146,7126,3712,3414,786,41850,0.396,0.22,0.176,9534,5291,4243,786,37749,20431,0.312,0.174,0.138,6376,3564,2812,778,37852,-723,-0.091,-0.061,-0.03,-2408,-1579,-829,0,0.109,2933,-0.007,-0.016,0.008,750,148,602,0.01,0.106
"Asheville, NC",Metro,55375,0.504,0.326,0.178,27920,18077,9843,871,34416,0.5,0.273,0.227,27998,15304,12694,916,35799,47370,0.472,0.26,0.212,22358,12322,10036,801,32656,-588,0.004,0.053,-0.049,-78,2773,-2851,-0.05,-0.039,8005,0.032,0.066,-0.034,5562,5755,-193,0.087,0.054
"Ashtabula, OH",Metro,7092,0.517,0.22,0.297,3665,1558,2107,682,19104,0.516,0.213,0.304,5762,2375,3387,651,21657,9753,0.544,0.245,0.299,5307,2386,2921,690,29083,-4066,0,0.007,-0.006,-2097,-817,-1280,0.047,-0.118,-2661,-0.027,-0.025,-0.002,-1642,-828,-814,-0.011,-0.343
"Athens, GA",Metro,31356,0.536,0.231,0.305,16812,7246,9566,840,30262,0.533,0.237,0.296,16886,7519,9367,868,31057,23629,0.544,0.217,0.327,12863,5127,7736,842,28306,-308,0.003,-0.006,0.009,-74,-273,199,-0.032,-0.026,7727,-0.008,0.014,-0.022,3949,2119,1830,-0.002,0.069
"Athens, TX",Metro,6811,0.507,0.282,0.224,3451,1922,1529,750,32582,0.509,0.194,0.315,3438,1313,2125,813,29578,6351,0.399,0.227,0.173,2537,1439,1098,805,34604,58,-0.002,0.088,-0.09,13,609,-596,-0.077,0.102,460,0.107,0.056,0.052,914,483,431,-0.068,-0.058
"Atlanta, GA",Metro,732377,0.5,0.268,0.232,366311,196374,169937,1169,44890,0.486,0.262,0.224,361916,195251,166665,1147,44586,559336,0.496,0.255,0.241,277646,142672,134974,1067,41961,-12553,0.014,0.006,0.008,4395,1123,3272,0.019,0.007,173041,0.004,0.013,-0.009,88665,53702,34963,0.096,0.07
"Atlantic City, NJ",Metro,29099,0.624,0.303,0.321,18154,8805,9349,1063,35952,0.599,0.278,0.321,19656,9112,10544,1060,30492,26096,0.573,0.305,0.268,14945,7951,6994,1113,36721,-3709,0.025,0.025,0,-1502,-307,-1195,0.002,0.179,3003,0.051,-0.002,0.053,3209,854,2355,-0.045,-0.021
"Auburn, AL",Metro,19317,0.538,0.227,0.311,10395,4389,6006,805,22343,0.499,0.241,0.258,9706,4684,5022,827,30066,16961,0.559,0.258,0.301,9479,4379,5100,746,29956,-143,0.039,-0.013,0.053,689,-295,984,-0.027,-0.257,2356,-0.021,-0.031,0.01,916,10,906,0.08,-0.254
"Auburn, NY",Metro,8088,0.43,0.195,0.235,3476,1579,1897,767,33563,0.392,0.178,0.214,2952,1342,1610,757,29972,8575,0.415,0.14,0.275,3562,1203,2359,778,34246,551,0.038,0.017,0.021,524,237,287,0.013,0.12,-487,0.014,0.055,-0.041,-86,376,-462,-0.015,-0.02
"Augusta, GA",Metro,62706,0.539,0.234,0.305,33804,14684,19120,859,30591,0.531,0.287,0.244,34193,18476,15717,837,31698,53713,0.504,0.232,0.271,27054,12488,14566,754,31653,-1745,0.009,-0.052,0.061,-389,-3792,3403,0.026,-0.035,8993,0.035,0.002,0.034,6750,2196,4554,0.139,-0.034
"Augusta, ME",Metro,14233,0.488,0.258,0.23,6949,3673,3276,728,25903,0.51,0.254,0.256,7164,3571,3593,752,26002,12265,0.457,0.23,0.227,5599,2817,2782,702,29619,188,-0.022,0.004,-0.026,-215,102,-317,-0.032,-0.004,1968,0.032,0.028,0.003,1350,856,494,0.037,-0.125
